emotion,sentence
Sadness,nó cười với người khác chứ * beep * phải tao :((
Enjoyment,xem lại quá nhiều lần đến nỗi không nhớ nổi . vì phim quá hay và ý nghĩa .
Enjoyment,ahihi khá là buồn cười
Enjoyment,t ngắm người yêu tao cười mà càng ngắm tao càng yêu lúc giận cơ nhìn muốn cắn cho mấy phát tao bị cuồng người yêu rồi cái
Disgust,đừng có xàm lồn trên này
Anger,gặp tao tao thuê giang hồ tới chém hết cả nhà nó luôn
Anger,"địt mẹ mày viết lên chỗ nào nước đéo tới ấy , ngulon"
Sadness,"những thứ tưởng chừng như rất đẹp nhưng kbh được trọn vẹn , cuối cùng để lại chỉ là những kỉ niệm đã từng :))"
Enjoyment,"ba chàng ngốc , phim ấn độ , cực hài , cực cảm động và ý nghĩa nhé"
Enjoyment,"1 bộ phim phải nói trên cả tuyệt vời , xem đi xem lại cả chục lần rồi mà không ngán"
Sadness,bây giờ tao lấy chồng rồi còn không có cơ hội ngủ với em gái 😫
Enjoyment,cái mặt cưng xĩu
Enjoyment,per đây là chúng mềnh 🤪🤪
Disgust,ngu như mày thì khỏe
Fear,không biết có ai ở trong ngôi nhà không
Other,hình như cũng mới có vụ bể bình dâu tằm
Sadness,tao bị biến dạng luôn một tay
Sadness,mai đi học mà mình quên cách cầm bút rồi huhu :<
Surprise,chời ơi gì vậy ở giây thứ cuối cùng anh em nha :)))
Disgust,nó chi ̉ muô ́ n tâm sư ̣ chư ́ thi ́ ch me ́ o đâu ma ̀ thi ́ ch
Sadness,per mỏi chân quái :v
Disgust,"đúng là không sợ địch mạnh , chỉ sợ chỉ huy ngu như bò"
Disgust,về việt nam thì gọi nó là ngáo chó
Fear,per con nhện cản bước bé xuống cầu thang =)))))
Fear,cả 2 loại người này đều đáng sợ !
Enjoyment,đm cười ĩa
Enjoyment,per hôn nhẹ lên má nha 🤣
Sadness,"có lần ba tao mua bánh kem sinh nhật cho tao , lúc đấy tao 13t nhưng khi ba tao mua về thì lại là 15t 😶"
Enjoyment,con dựt gái đây sao hahaha
Surprise,hot đến vậy cơ à ? mình chưa nghe bao giờ luôn .
Sadness,"cả thế giới biết toau crush mày , còn mày thì íu nhận ra 😐"
Disgust,vô ý thức
Disgust,"cưỡng hôn 200 nghìn , thu trăm tỷ phạt 5 triệu , đói trộm 2 cái bánh mỳ 45k phạt đi tù"
Enjoyment,chính xác ! nơi làm việc anh em mà đoàn kết với nhau cỡ nào cũng thấy mau hết giờ làm . 😊😊😊
Anger,phim cắt mất đoạn hay của manga rồi dume
Anger,đang ăn . nói nói con cặc 😒😒
Other,tôm này vào là nó diệt hết tôm bản địa luôn
Sadness,"bởi vì anh đã gặp em đúng lúc , đúng lúc đó em đã có người thương ..."
Enjoyment,tại sao phải đứng ngồi nhìn ? lên bankon cột võng nằm coi mới đã ..
Surprise,"loại bi này ngon quá , vừa uống"
Sadness,10 đứa bạn thì có 9 đứa là con trai rồi . sau nhiều năm kinh nghiệm thì chơi với nhiều trai thì sẽ bị ế muôn đời muôn kiếp . haizaaa ...
Enjoyment,"xem đi xem lại không chán , best của best 😭"
Other,tán mãi mới đổ muốn chia tay cũng phải từ từ
Surprise,"gấu của thằng da đen ngon vkl , mà công nhận chạy nhanh vãi"
Enjoyment,đag bị cuồng mấy video của chế này . ai có ngoài video này tag cho mình xem với nhé 😂😂
Other,học rmit thì chắc chắn là gia phả nhà nó giàu vcd rồi . thế thì chọn thằng có tiền học bổng chứ còn gì nữa -))
Disgust,tại sao không áp dụng khoảng 2 điều 320 luật hình sự 2015 phạt tù từ 3 - 10 năm về tội hành nghề mê tín dị đoan gây ảnh hưởng xấu đến an ninh trật tự và an toàn xh mà chỉ phạt con mụ đó 5 triệu đồng ? hay là vong đòi phạt hành chính 5tr thôi 😬
Other,per hình như nhà bác có 01 chiếc thì phải ?
Disgust,soi mà không đủ tiền mua thì soi làm gì
Other,làm sao tôi có thể yêu được loài người đây ???
Fear,trong nhà không biết có ai không nữa ? sập quả này sợ thật đấy
Disgust,toàn lũ chó thèm khát
Other,per nhu cầu của mày khoái xem mấy video này nên tao tag mày
Sadness,và cuối cùng là được đối xử như một thằng con trai luôn ..
Disgust,chỉ tại nó không có ai để nói chuyện nên nói chuyện với mày giết thời gian thôi . ai bỉu mày tưởng tượng chi
Surprise,sao nhiều thằng cưa bàn giống tao vậy ??
Enjoyment,ngày trước mình qua singapore cũng vậy . dư hành lý 2 chi em mă ̣ c 4 bộ lên người kkk
Fear,tuổi lồn hù được bố m
Enjoyment,per kìa 3 chị em vào mà hốt hàng về đi chứ hâha
Sadness,"ngày xưa có đĩa phim này . bố đi công tác về thấy cái đĩa tên là "" cô dâu 15 tuổi "" . má ăn chửi sấp mặt ..."
Enjoyment,may mà còn gỡ lại được 1 miếng sắt lớn của tàu hỏa nó bung ra nên bán đi cũng đỡ được vài đồng . kaka
Enjoyment,cười lộn ruột
Other,chờ thằng kia lật mặt mãi không thấy
Other,thật ra đàn ông ghen nhiều hơn phụ nữ đấy chứ
Enjoyment,rất có tố chất . liên đoàn xe đạp việt nam có thể liên hệ để đào tạo được đấy
Enjoyment,nhắn với người yêu còn đéo nhẹ nhàng như vậy =))
Disgust,chơi khăm vãi thế ba
Sadness,tớ chỉ an ủi bạn í thôi mà :(
Disgust,cha mẹ cho ta cả cuộc đời rồi còn than gì nữa
Disgust,alo ở đây có thằng điên mày à . đến bắt nó hộ tao phát
Enjoyment,thích bài này lắm lun . thuộc lun
Enjoyment,nhìn mày thế kia đến tao còn thích ngủ cùng huống gì em mày
Enjoyment,"per hihi học ở đâu không quan trọng , quan trọng là bọn mình luôn có nhau hihi"
Other,lúc đi họp lớp thì đếu thấy ai
Sadness,gặp em đúng lúc nhưng sao anh vẫn thấy mình cô đơn quá .
Other,mua được bộ đồ cho tết điệu đà tán gái mà như thế nào đây thì tán sao được
Other,chua cay bùi ngọt mặn cái chả có .
Enjoyment,nó lại dễ con ạ :v
Surprise,chi tiết đẹp đấy
Other,"đm đi học bị mấy con điên này đuổi cắn , dume vì nó mà tao sợ quá chạy té sấp mặt luôn trầy hết con mẹ nó tay chân . thứ dòng đỹ gì đâu á :))"
Other,"bếp lò xô nấu bằng dầu hôi đây mà ,!"
Fear,per dume đái trong quần
Disgust,"người ta dùng kiến lá , ông lại dùng kiến cứt thì thua ông rồi"
Sadness,rớt giá kinh khủng khiếp huhu
Enjoyment,mai đến phòng đi tập luôn
Disgust,per bây giờ thì không nói nhưng mà cảm giác phủ nhận vai trò bà thảo ngày xưa . vl không chị đọc thấy viết khập khiễng quá :)))
Enjoyment,aw giống tao vậy =))) mấy thứ linh tinh tao còn để nguyên vào 1 cái hộp bự cơ
Enjoyment,🤣🤣🤣🤣 bo tay chấm cơm . hahaha
Other,giờ mới biết
Fear,cmt thế thôi chứ thật ra còn trả dám ấn vào video để xem . đời tao tởm nhất là lũ nhện mà hay gặp vãi :((((
Anger,cái loại ngu si này nên nhốt nó tù chung thân lao động công ích cho nhà tù để giúp ích lại những cái nó đã phá hoại
Anger,mẹ con điên
Enjoyment,tuyệt vời . aeon mall có khác
Disgust,loạn luân cũng được . đcm ạ
Sadness,tội cả con quá 😭😭 một lũ vô nhân tính đã hủy hoại những mầm non tương lai .
Enjoyment,là con bé con điên khùng và phiền vãi nhưng bạn vẫn yêu nó vãi chưởng :))))))
Disgust,mịa thằng ghép nhạc :))))
Other,chợt nhớ câu hát ông bà anh yêu nhau thời chưa có xe hơi ...
Disgust,thôi ctay đi chứ yêu con người như này chả chết vì bệnh mà chết vì vô tâm mất
Sadness,per người đừng hành hạ tuôi như thế nào nữa
Enjoyment,lạc quan lên cưng ❤
Disgust,cách xử lý của cô chủ nhiệm quá tồi .
Other,bọn chủ tịch đến chưa chúng mày ?
Other,giống tao nhưng tay trái tao có thẹo do mẹ tao xưa cắt trúng nên nhìn thẹo để phân biệt thôi chứ kêu phải ứng liền là không được
Enjoyment,vào sg 50k / không cũng mua . 100k / không cũng mua ! ha ha
Enjoyment,nó lại hợp lí vãi
Disgust,"quỳ vậy thôi có gì mà phạt giáo viên nhỉ , riết phụ huynh giờ thấy làm quá đáng thiệt"
Disgust,lớp tao tỉnh rụi . đi học chứ có phải đi chết đéo đâu mà khóc lóc :)
Enjoyment,ngày xưa mỗi lần tao làm ồn là ngoại tao liền la hoặc lấy roi đánh 😅 nhưng lúc đó vui lắm 😊
Sadness,"em cũng đi lead này , nhưng đừng gọi em là ninja được không , xin luôn đấy"
Enjoyment,tự nhiên nhớ cái cảnh 2 con bánh bèo bị ngỗng dí quá 😅😅 per
Fear,thề nhìn họ hôn nhau thôi mà nổi hết gai ốc . chưa dám nghĩ tới xxx . chắc thốn lắm . lạnh sống lưng thật .
Enjoyment,dù s đi nữa thì mày vẫn xinh . cố lên
Enjoyment,sài gòn vẫn có cách sống rất nhân văn .
Disgust,đi ngoài đường trái phải còn không biết mà vẫn sống thì giỏi đấy nhỉ
Enjoyment,thật vi diệu
Other,nuôi sao mà trông béo tốt thế kia :v chỉ bí quyết đi
Disgust,agribank thì bình quân bao nhiêu nhỉ . mấy cán bộ agri thấy hách lắm .
Enjoyment,ly hôn kiểu này thì không cần tới bước cuối cùng . chỉ cần tới bước tính xem trả lại tiền mừng là tao bỏ ngay ý định ly hôn luôn rồi ... kkkk
Anger,"nhìn mặt đã thấy hãm , mọi người chửi bỏ mẹ con mẹ phụ huynh đi"
Sadness,mày không được ăn đồ chua nhưng phòng toàn xoài chua :(
Disgust,per bày đặt ngày hôm qua đã từng đồ
Enjoyment,sau khi bố xem video của con xong thì bố rút ra 1 điều . bố không chỉ chửi con lúc con cầm đũa mà bố sẽ chửi con cả ngày thân ái ... yêu con
Sadness,có đứa nào hồi bé không biết nấu còn tranh làm rồi quên không đổ nước như tao không :)))
Enjoyment,đỉnh của đỉnh 🙂
Other,các bác cứ tích cực vào . em chả quan tâm
Disgust,ở việt nam mà vác dao rạch tại chỗ thể này người nhà nó chả đấm cho sưng mõm rồi 🌝
Anger,"trung thu là ngày cho trẻ em chứ đéo phải ngày tạo ra trẻ em nhé . dume bọn có gấu tém tém lại , kiểm tra xem có thêm cái sừng nào không ?"
Other,per tao nghĩ nên triệt sản mày
Surprise,"rẻ nhỉ , sao có thể giảm tới mức đó vậy ta"
Enjoyment,"có rồi mà , nghén rồi nè hihi"
Other,qtrong là mày phải có tiền chứ nghèo xem
Sadness,anh đừng bỏ em đi mà 😢
Enjoyment,người ghép có tâm 😁😁
Other,per hôm nào chụp kiểu nhỉ .
Sadness,"per bất hạnh vãi , mà tao với mày đéo tạo được niềm vui :v"
Disgust,gu âm nhạc óc chó mới nghr cái bài này . toàn đú theo mấy cái thể loại hãm
Other,mỗi năm cũng xem lại đôi lần
Enjoyment,per cảm ơn mọi người . do em thích mấy cái văn hoá tưng vùng để tìm hiểu
Sadness,hu hu đã bị chụp
Disgust,con này bán kem bôi não ... xóa bỏ nếp nhăn .. khiến não láng mịn 😌😌😌😌
Disgust,ngu không chịu được
Sadness,per hồi ở tam kì hay nghe ... giờ nghe lại buồn ds
Enjoyment,bạn gái nào xinh xinh mà bị lạc thì vào nhà mình cho ngủ nhờ này . ??
Fear,huhu sợ vãi luôn á
Disgust,hỏng rồi . dùng đồ như phá
Anger,"chỉ có bạo lực mới giải quyết được bạo lực , tao mà làm luật tao sẽ hạ tuổi người lớn là 13 tuổi , đem nó lao động khổ sai 10 năn"
Sadness,tao nhiều tài lắm .. nhưng tài sản còn cái mạng què và đôi tay trắng 😭😭
Other,có ai bịt loa như tao không 😁
Other,"mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé , đừng chen đẩy kiểu bố láo , thằng đẩy tao đã bị xơi cùi trỏ rồi đấy ,"
Other,nhìn là thấy nóng rồi
Anger,"làm con người còn sức khoẻ , còn lành lặn mà vác mặt vào ăn cơm từ thiện thì chết con mẹ nó đi cho đỡ chật đất , cơm này dành cho những người không còn khả năng lao động , hoặc vô gia cư và hoàn cảnh quá khó khăn thôi"
Other,tự hỏi rằng những bạn nữ như thế nào thì họ có còn thích con trai không nhỉ 🤔
Enjoyment,cặp phụ lúc nào cũng đáng yêu .
Sadness,pháp không còn khoảng thời gian bình yên nữa rồi
Enjoyment,con ước mình cũng có 1 tình yêu đẹp như ông bà vậy < 3
Surprise,cô giáo là người nhà của mấy đứa đầu gấu à =)))))
Disgust,"tôi cũng thấy điêu điêu , nét chữ này của người lớn mà . chí ít cũng phải cấp 3 rồi ."
Anger,phải con tao tao cho cả lũ chó cụt tay hết !
Enjoyment,cưng chết
Other,con gái hiện giờ .. nấu kiểu này thì thôi xong ... cháy luôn cả nhà 😂
Other,"per đường đi về anh ợ , ô tô chắn hết đg chả đi được ??"
Disgust,ghê vậy
Enjoyment,nếu không có khúc cua cuối thì video này ý nghĩa đó chớ 🤣🤣
Enjoyment,dễ thương . cứ yêu đi ngại gì .
Enjoyment,hay lắm :)))
Sadness,dume con ế đọc tổn thương sâu con mẹ nó sắc :((
Disgust,chắc ông này không có vợ :))
Enjoyment,coi phim này không .. dễ thương lắm ..
Enjoyment,đúng vậy . haha
Other,tại sao cứ đa số là trèo cột điện với mái nhà nhỉ . ai giải thích mình với ??
Anger,lâu lắm rồi mà gio mới xử phạt
Enjoyment,đáng yêu quá
Enjoyment,tuần sau nữa mới học =)))
Enjoyment,"per sợ chưa , ông bác hơi bị cứng nhé :))))"
Other,"phàm là việc đại sự trong thiên hạ , cứ về hỏi vợ . vợ bảo sao thì làm ngược lại . ắt thành công !!!"
Anger,bọn hại người không gươm không dao . bọn tiêu diệt nguồn lực tương lai của dân tộc . nên đưa tội thực phẩm bẩn vào khung tử hình đi . mong nhà nước thay đổi một số luật định đi .
Other,per bữa nào làm thử mày
Other,cần 1 thời gian dài thật dài nữa thì ý thức mới đi lên được
Fear,"trên đường tao đi làm cũng có 2 con , mỗi lần chay tới là nó vương cổ ra như kiểu muốn hút tao trong khi tao không làm gì nó , cứ mỗi lần chạy tới là tao cách ly cả "" nghìn mét "" với nó , thấy nó sợ bỏ mẹ . đúng chất con ngang"
Other,đội nào cũng xứng đáng hơi tiếc cho per
Enjoyment,:))) có thật nhiều tiền là vui
Enjoyment,"anw , vote cho anh vũ"
Enjoyment,ý là giọng quê tao đó hã
Sadness,tao thì ngược lại .. cắt xong nhìn như thằng trốn trại vậy
Enjoyment,chúc mừng cp . cố lên cp .
Sadness,đáng tiếc đời không như là mơ . thực tế sẽ vả vào mặt cho mày tỉnh ra :(
Disgust,con cháu việt nam nhục nhã vãi
Sadness,những người thả phẫn nộ xứng đáng là thiên thần . dăm ba cái yêu đương vớ vẩn . ahuhuhu
Fear,cíu tao khỏi hai tên đồng nghiệp bị crazy huhu
Disgust,"thứ kém sang ngồi ăn ngay cạnh tao , có biết tao đang giảm cân không"
Sadness,"điều đó không quan trọng , quan trọng là đéo xác nhận lời mời kết bạn"
Fear,rớt vô đây chắc chắc khóc tiếng thái lan
Disgust,vì có mối ngon hơn chứ saoooo :(
Other,per đó đi chơi nhiều dô hỏi sao da đen -.-
Sadness,t quá mệt mỏi với cuộc sống này rồi 😓
Sadness,"anh luôn nghĩ thế giới này không có gì đáng sợ , cho đến khi anh không còn thấy em nữa"
Other,thế theo mấy bác lớp 5 thì viết chữ như thế nào ạ
Fear,rồi mấy đứa chân ngắn đi chắc dập người hết . bay qua sao nổi =))))
Enjoyment,"đi viện mà tưng tưng ăn uống được là tốt rồi , mừng mày sớm ra viện nhé cô"
Enjoyment,mấy chị làm chung rất ư là dễ thương luôn
Enjoyment,em nó đây nha các bác . kkkkk :)))))
Disgust,gớm . vi khuẩn vi rút vi trùng vi lung tung beng nấp hết trong đó nhìn nổi da gà .
Disgust,xây làm tưởng xây cái chỗ ỉa chứ
Surprise,không hiểu tại sao bản thân có thể chịu đựng được
Fear,ghê quá đi
Anger,đem con bọn mày đến đây tao cho ăn cơm mốc rồi cảnh cáo tao rút kinh nghiệm thôi nha
Sadness,tao không tin đâu hiccc =(((
Sadness,tao cũng hao mòn nhan sắc như này
Enjoyment,thằng nhỏ mạnh vãi
Other,lại là bài nhạc huyền thoại trong xe hơi :3
Enjoyment,mình thì # mình chỉ mong chồng tốt thương yêu vợ con gia đình ! gia đình lúc nào cũng vui vẻ hạnh phúc thì ngày nào cũng là ngày ( tình yêu )
Enjoyment,kiểu lâu lâu cũng không được nhắn tin cho ai như thế nên cũng muốn tình cảm xíu =)))) biết đâu
Disgust,nó quan tâm mày là lúc nó cô đơn quá và mày vô tình đi ngang đời nó thôi
Enjoyment,per nhớ ghê á nha 😂
Enjoyment,nơi ấy giữ lại những kí ức tuyệt vời
Anger,mày xây luôn đi chắn biển cho tao . xây xomg muốn viết lồn gì thì viết
Disgust,vậy mà trên đời có 1 loại cha vứt bỏ con mình .
Sadness,chia buồn cùng nước pháp
Disgust,ma thì làm sao đáng sợ bằng vợ hả người anh em thiện lành ??????
Enjoyment,quá tuyệt vời rồi các chàng traiiii
Disgust,ngây thơ vãi =))
Disgust,t chỉ có 1 năm thôi cũng phát ngán lên được . đúng là không đi làm ở nhà mang danh kẻ ăn bám
Sadness,đoạn cuối hình như nó khóc
Other,đừng bao giờ chơi trò giận dỗi với lũ con gái :))
Sadness,"per như một cú tát vào mặt , đau lòng quá đi"
Sadness,địt mẹ vừa đi ép lại kính xong giờ tan con mẹ nó cái kính rồi 200k của bà mày đấyyyyy !!!!!
Other,"trừ khi đường có biển cấm dừng đỗ thì mới không được đỗ , còn có phải phố nào cũng kẻ ô cho ô tô đỗ đâu"
Anger,dume mệt mỏi thật sự
Enjoyment,cũng có nơi gia đình khá giả mới có nó !
Other,bởi đi mua cái gì cũng phải chọn chỗ uy tín
Enjoyment,"chơi game :v cấp 2 trộm tiền bố mẹ đốt gần 10tr vào game , cuối áy náy không chơi nữa nên ngồi bán nick được khoảng 2tr cũng gọi là thu nhập đầu tiên :v"
Disgust,per bây giờ thì không nói nhưng mà cảm giác phủ nhận vai trò bà thảo ngày xưa . vl không chị đọc thấy viết khập khiễng quá :)))
Disgust,tôi đang ngủ mà ai cứ ăn chóp chép kế bên khó chịu thật !!!
Surprise,sao đi cắt tóc mà mắt nó từ đen sang xanh luôn vậy ?
Anger,"ở mình bà đéo ông đéo nào cũng muốn dậy đưa giỏi , đứa ngu hay nghịch tý là ông bà ý làm ầm lên ."
Sadness,đã biết là thế nhưng không còn cách nào khác :(
Disgust,đống góp ý kiến gì mà tằm với tàu không hà
Sadness,mua con lợn 5 chục lì xì được có 40 nghìn mất thời gian tốn cả tiền bạc 😂
Enjoyment,"nhớ lại ngày đó , làm pg bán giấy , cười suốt ngày , khách chửi cũng cười , mà nhớ thời đó ghê , mới 1 , 2 năm chứ mấy"
Disgust,người ta đá hay bảo ăn đòn thằng admin ngu lol
Other,8h sáng mấy bạn đi ngủ chưa ? sống theo giờ sao hoả hả má
Sadness,chỉ tại tôi không nói nên không còn cơ hội
Enjoyment,cái mặt xinh quá
Fear,"đang tính đi nhổ răng khôn ( à quên , nó ngu chứ khôn đéo gì ..) nghe được cảnh báo này chắc không dám đi nhổ luôn ."
Sadness,nắng cũng đã sắp tàn sao mà chả thấy em đâu ...
Other,ai mua thì bán không mua thì thâu 😂
Enjoyment,per đã nhẫn nhịn lắm ... đến khi con sen tao cứu tao thì tao đách có sợ đâu nhaaaaaaaa 😂😂😂
Enjoyment,"chời ơi , bé gái cưng muốn xỉu . bạn nữ nào kết hợp sx em bé hơm ?????????????? :))))"
Enjoyment,bài học rút ra là học cách buông bỏ những thứ không thuộc về mình
Anger,per cách gì thì kệ mẹ tao
Surprise,"công nhận ổng nói tiếng việt giỏi ghê lun ,"
Other,per đừng hỏi tao nữa
Enjoyment,được bác ạ !! cứ lấy vợ giàu là được tuốt =)))
Enjoyment,cuộc sống mà =))
Anger,page rẻ rách đĩ mẹ tao bỏ theo dõi súc sinh cận bả xã hội dcm 18 đời nhà mày :)
Other,bếp dầu chủ cái gì nữa
Anger,per mở mắt ra đọc đi ! tao như này tất cả là do mày đấy chó ạ !
Anger,mợ không gọi công an phường đến cẩu đi .
Surprise,ngã sấp mặt lồn là có thật
Other,do mày để gián ngay cửa nó không dám vào nên khóc thôi
Disgust,đồ phá hoại
Other,per xem câu chuyện hư cấu này giết thời gian này 👏
Sadness,buồn hơn khi tôi còn là gái 🙄
Disgust,phim như shits ức chế như lien quan trẻ trâu
Enjoyment,per bữa cuối nó ngồi chỗ đó nhìn mà khóc còn cuối khoá thì bth haha
Enjoyment,dume cười vãi luôn trời :))))
Enjoyment,ở chỗ khác chắc gì có đứa béo như mình !
Disgust,per đừng ảo tưởng nhé
Sadness,thật sự đọc xong thấy hơi rưng rưng
Other,bọn mấy bà thì quyền lực vãi rồi
Enjoyment,"sướng nhờ , bên trung chúng nó yêu nhau toàn sống chung . 😂😂😂 toàn richkid :>"
Fear,đứng dưới cây này chỉ sợ ngột vì mùi hoa sữa 😂😂😂
Surprise,ngôn ngữ gì ngộ nghĩnh vậy
Surprise,ở free được lun hả 😮
Other,có ai thấy giống người đẹp 9p không ?
Disgust,em ghét nhất loại này . dính vào điểm mù của xe to thì ăn cức cụ ạ .
Sadness,"buồn cho những ai thờ ơ , vô cảm trước một sự việc như thế ."
Enjoyment,"aaaaa con nhện 😨 "" aaaaaaa con ế !"" - nhện said 😂😂😂"
Enjoyment,"hahaa , đợi em ngủ chút tí ròii buôn :))"
Disgust,móe mình chưa gặp cảnh này chỉ có dọn bánh kem bọn ném nhau dính lên mọi thứ hòa với bãi nôn thôi 😱😱😱
Sadness,nhớ con gái tao quá :((((
Enjoyment,minh tu nguyen thuận phạm quan trọng đồng nghiệp có hợp phong thuỷ với mình hay không hâhhah
Sadness,tuổi thơ cũng từng trải qua nhiều lời cay nghiệt hơn vậy .. nên c hiểu được cảm giác của em ..
Fear,sợ vãi tè ăn độc 2 quả mọc luôn 2 cái nhọt ở mông đíu hỉu
Enjoyment,"per một thời mình ở bên nhau 😘😘😘😘, nhớ ghê"
Anger,chỉ vì tin “ nó không cắn đâu ” mà tao đã bị “ nó ” cắn 2 lần rồi . dume
Sadness,hi vọng hòa bình ở triều tiên sẽ không còn xa nữa . goodbye ! # per
Sadness,"cái đáng nói là chủ không có thương , dòm em husky này ốm nhom , mắt lờ đờ thấy tội lắm"
Enjoyment,thằng nào chưa bước vào quán bar hay karaoke giống tao không 😂 trai ngoan điểm danh 😄
Enjoyment,xinh mà còn ngáo nữa thì người yêu mới cưng =))
Disgust,mình đéo làm nhé bạn .
Enjoyment,"ai thì tao không biết , chứ tao thấy tiền là đã có động lực phấn đấu rồi"
Sadness,":)))) cuộc sống mà . ngày càng thấy bản thân quá nhạt và "" duyên "" :v"
Enjoyment,"moá nó , cười đau hết cả ruột"
Surprise,sao con này mồm nó cứ rộng toang toác ra như thế nhỉ ?
Enjoyment,ý tưởng hay đáy chứ
Enjoyment,có thằng nào mắc cười không hay là do tao đéo có cảm xúc vậy vkl
Sadness,lại là án oan sai 😔😔😔
Disgust,yêu như trẻ con tập yêu ây .. có cái chúc sinh nhật mà nháo nhào lên cãi nhau
Enjoyment,tao quen rồi 😌
Other,có ai vào đọc bình luận trước khi xem như tao không ???
Enjoyment,tình yêu không bao giờ là mãi mãi . rồi cây cũng chết héo mà thôi khà khà
Anger,"đúng là những đứa khốn nạn , có bán hàng hay không thì nói một câu"
Other,đéo tin gì cả 😑
Sadness,xem mà cuối phim thấy tội chị ma nữ 😂
Sadness,thương các con quá đi
Enjoyment,trung thu là tết thiếu nhi cớ sao người lớn lại vi vu thế nhỉ
Disgust,thời buổi bây giờ càng nhiều tiền thì cơ hội có việc làm sẽ cao hơn
Enjoyment,per xem đi haha
Enjoyment,per em hiểu sao anh đưa em quyển sổ rồi nha kkk
Other,em per gì gì đang hot đi làm lại ngực mà đi đoạn đường này thì ngải cứu :))
Disgust,quả quần tụt tận lỗ đít . đéo hiểu sao n có người yêu
Other,"cái này dùng con kiến to to mới có vị chua , còn cái loại kiến này làm màu không tác dụng gì"
Disgust,trông đen đen bẩn bẩn nhìn phát khiếp
Sadness,đó là 1 câu chuyện buồn
Fear,"con quỷ này hồi nhỏ tao khóc vì nó hoài , thấy nó không dám đi , bỏ đường phải vòng đường khác ,"
Enjoyment,phải chi có người yêu nhắn tin ngọt ngào như này
Disgust,nhìn mặt bé mèo khó ở ghê - _ -
Sadness,tao cũng có 1 con đi lạc 1 tuần xong nó về bắt cho tao 2 con chuột làm tao mất ngủ xong hôm sau nó đi tiếp 😞 tao mong nó về lắm 😞
Disgust,ác quá
Enjoyment,lâu lâu được nghe truyện cổ tích thấy còn niềm tin vào cuộc sống 🤣🤣
Enjoyment,tao lại thích chua lè chua loét chứ :)))
Surprise,nó ảnh hưởng tới cơ thể như thế nào vậy ạ ?
Enjoyment,chúng ta thật hạnh phúc và luôn đi chung với nhau suốt chặn đường dài rồi đó nà ?
Other,như nó không phải là tình yêu . khi đã là tình yêu thì không gì đánh đổi nó cả . con gái kỳ lạ chỗ đó .
Enjoyment,t thấy dễ mà . không biết thì học khác biết . ez vãi
Disgust,"nếu không làm được thì nghỉ đi để người khác làm . đừng để vì mình mà làm ảnh hưởng đến uy tín , danh dự , nhân phẩm của chị em trong ngành . 😌"
Disgust,"gia đình bọn này chắc cũng chả ra cái gì con cái mới thế , tội em gái bị đánh"
Enjoyment,ôi cưng cưng quá
Disgust,dme thần đèn ăn theo tổng đài vtc à
Enjoyment,"đã dùng , nhớ quá ngày xưa"
Enjoyment,đơn giản 🙂
Sadness,rủ được crush đi thì không cần qua đây nữa rồi admin ưiiii :(((
Fear,tình cờ gặp nó và đột nhiên cắm mặt bỏ chạy như điên
Fear,vl bố tao đang ở đây mà chắc sáng mai mới về mất ??
Sadness,căng thẳg quá mà
Fear,"hồi bé đi mua xôi bị một đàn ngỗng đuổi 🙂 may mình đi xe đạp không thì ăn lol ** với chúng nó , cái thứ mất dậy 🙎🏻‍♀️🙎🏻‍♀️🙎🏻‍♀️"
Other,hồi năm lớp 8 lớp tao bị quỳ trước sân trường đây nguyên lớp luôn
Enjoyment,chân thành và giản dị . con yêu mến tình cảm của 2 cụ
Other,cố gắng lên cụ nhé !!❤
Anger,nhốt hết mấy thành phần hát karaoke đấy vào sọt đi trời
Enjoyment,"có tài nhưng đôi lúc muốn làm diễn viên hài 🤣🤣🤣, khoái thanh niên này buồn cười vkl"
Other,cuộc sống đổi thay làm lòng người thay đổi . hiểu vậy cho nó vuông
Other,chung quy là hình thức quảng cáo !!!
Other,sao lại có chuyện vô lý như vậy được chứ 😠. rồi bé nhỏ sẽ như thế nào khi chứng kiến bố nó bị đâm ngay trước mặt nó . nghĩ đã không dám nghĩ tới rồi thấy thương bé quá .
Enjoyment,trông anh thần thái vãi :v
Other,khi bạn thật lòng với ai đó . nhưng người ta coi bạn như 1 trò đùa
Enjoyment,giống ml em tao hồi n nhỏ vãi . muốn ngủ với mẹ nhưng bị tao nịnh nọt bắt lên ngủ với tao :))
Anger,đụ con đĩ mẹ hôm nọ đang ngủ thằng lol nào hét ầm ầm . mày về nà hét cha hét mẹ mày chớ ngủ không yên
Other,có tất cả các vị mày niếm được
Disgust,cắt tóc rồi mặt như con heo
Sadness,"bây giờ con đã sai vì đã chưa làm gì được cho cha , con thật sự xin lỗi cha và mẹ ,"
Sadness,không thấy không biết lòng không đau
Enjoyment,tán gái hay vãi
Disgust,nhìn ghê vãi . ai nuôi mà ác thế
Other,"đúng . làm gì không quan trọng , quan trọng là bạn làm điều đó với ai"
Enjoyment,"xời tưởng gì , cái này tao làm được =)))"
Other,thôi tốt nhất là chịu thua đi . thắng hay thua cũng đâu có được gì .
Enjoyment,giao lưu tí không . tự bấm chứ không mua =)))
Surprise,thằng nào quảng cáo xe vãi thế
