emotion,sentence
Disgust,cơm từ thiện không tốn tiền nên không biết quí trọng ý thức còn thấp quá
Disgust,sao toàn gái ngành với bọn chủ tịch bình luận không vậy 🙂
Disgust,"đéo kiếm ra tiền , nấu có 3 bữa cơm với đưa đón con đi học mà còn không xong , chắc để mẹ già làm hộ hay để chồng nó đi kiếm tiền về rồi nó hầu cho"
Enjoyment,điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .
Enjoyment,aw giống tao vậy =))) mấy thứ linh tinh tao còn để nguyên vào 1 cái hộp bự cơ
Enjoyment,"có rồi mà , nghén rồi nè hihi"
Enjoyment,nt thêm cái dạ vâng thấy quý vãi
Enjoyment,phim ấn thì của lão amir khan là hay vol
Enjoyment,per em cười mệt quá =))))
Enjoyment,qua câu chuyện vừa bịa ra tôi hi vọng các bạn sẽ có cái nhìn thoáng hơn về csgt việt nam 😂😂
Enjoyment,tuổi thơ dữ dội là đây .
Enjoyment,giọng lại còn ấm nữa chứ ♥️
Enjoyment,thú vui đặc biệt vãi :v .
Enjoyment,giống chuyện của chúng mình quá . chả biết sẽ cùng anh đi bao xa ... nhưng hạnh phúc khi có anh luôn bên cạnh ??
Enjoyment,chuẩn bị hết ế :))
Enjoyment,nhìn móng tay bác này mà tao thèm lòng chó quá per
Enjoyment,xong là phê lắm mày
Enjoyment,per nói ít thôi hành động nhiều hơn . time sẽ là câu trả lời . mong là 2 đứa cùng nhau già đi như này .
Fear,"má gần nhà có nuôi 1 cặp ngày nào đi ngang nó nhìn thấy nó quay đầu bỏ chạy , con gì mà dữ thấy mẹ hà"
Fear,đã sợ rồi .. cố gắng hí mắt để xa ra để coi như thế nào .. khúc cuối hết hồn dục luôn cái điện thoại :)))
Sadness,mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại
Sadness,điều tồi tệ là học nửa vời chã ra làm sao
Sadness,tôi từng được sống . nhưng đấy là truyện của năm ngoái rồi
Sadness,xỉu lên xỉu xuống :(
Sadness,vẫn ế bền vững
Surprise,"và bức tường , khung lan can , cây cối y nguyên sau ngần ấy năm ư ? 😜"
Anger,thính hơn chó động 1 tí là kêu inh ỏi điếc cả tai . đuổi thì đuổi dai 😒
Anger,đúng là không thể chấp nhận được
Anger,thế mà lại có người bảo đầu tao như đầu bùi :(( dume đánh chết cha giờ :))
Disgust,con nhà mất dạy
Disgust,"per cái thứ yêu nghiệt này cứ thấy tao như thấy crush , cứ gặp tao là đuổi :)"
Disgust,anh chơi ác quá
Disgust,xứng đáng cho cái ngu của thằng oto .. nghiền nát luôn oto càng tốt .. để cho cái lũ não ngắn nó hiểu được quy định của hành lang đường sắt là như nào .
Disgust,ăn chọp chẹp cái dume chú à . ghét nhất kiểu ăn vô duyên mất lịch sự này . ăn cà chọp cà chẹp miệng đéo kín được ấy . nghe ứa tai vãi
Enjoyment,"haa ... haa ... ! đúng là có thay đổi lớn ! ngồi nhâm nhi ly cafe , phì phèo điếu thuốc nhìn thiên hạ cũng vui kkk ... !"
Fear,cmt thế thôi chứ thật ra còn trả dám ấn vào video để xem . đời tao tởm nhất là lũ nhện mà hay gặp vãi :((((
Fear,chỉ là không có ai để nhắn thì mới nhắn cho mình . công nhận nguy hiểm
Sadness,bé có năng khiếu làm cô giáo dạy văn ... nghe thì nghĩ tục nhưng đời thường là có thật ... bác nghe thấy đồng cảm với các cháu
Sadness,tao ho rụng hết tóc rồi 😭
Sadness,dự là 30 mà 30 sợ già quá chả chó nào nó rước . năm nay đã 26 rồi mà vẫn chả ai thèm yêu 😔😔😔
Sadness,ngoài những bài chia tay vì lí do vớ vẩn ra thì neu cũng có những bài đăng đọc rồi còn nhớ mãi .
Sadness,""" học từ bỏ những thứ trời không cho "" nói thì dễ nhưng nhiều lúc quyết tâm lắm vẫn không làm được .. 😢😢😢"
Sadness,xem tới đây dume ứa nước mắt 😞
Surprise,ủa sao biết ??
Surprise,sao trận này ông này khóc nhỉ :))
Anger,per đi đâu cũng nghe bài này riết muốn tắt dẹp cho rồi
Anger,tao bẻ cổ mày luôn ấy
Anger,con mụ mất dạy . già mà lăng loàn . thấy người ta yếu thế hơn mà khôg giúp dựng cái xe dậy rồi nói với nhau vài câu tử tế . lại còn tỏ nguy hiểm định ăn cức người ta ak
Disgust,thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu
Disgust,loại dâm ô nam sinh này cần phải tử hình để làm gương cho người khác .
Disgust,ma thì làm sao đáng sợ bằng vợ hả người anh em thiện lành ??????
Disgust,hội những con pug láo lếuuuuuu
Disgust,"nói bao giờ cũng dẽ hơn làm , mà mặt 2 đứa này nhìn như mất mẹ dây thần kinh gì đấy"
Enjoyment,yêu quá nè nè
Enjoyment,"hôm nay ai có vàng bán hết đi , tuần sau mua lại , lời vãi ."
Enjoyment,per đã nhẫn nhịn lắm ... đến khi con sen tao cứu tao thì tao đách có sợ đâu nhaaaaaaaa 😂😂😂
Enjoyment,dù trời có sập cũng phải ăn đã nhé :))) anh có gấp lắm cũng phải chờ em nhé 🤣🤣🤣
Enjoyment,phim rất ư là hay lun quả xứng đáng là đạo diễn phim việt nam tài ba
Enjoyment,đáng yêuc quad 🤤🤤🤤
Enjoyment,may quá lớp tao không phải thế :))
Enjoyment,t không phải con sến súa . ko cần quá cầu kì lãng mạn . cầu hôn tao thế này là tao đổ rồi per
Enjoyment,kích thích vãi
Enjoyment,đúng . t vẫn lun chờ đợi đứa đó dọn dô cuộc đời t sống .
Fear,sợ vãi =)))
Fear,"thôi xong , biết thế tém tém lại ."
Sadness,nó cười với người khác chứ * beep * phải tao :((
Sadness,"nhìn cảnh này mình nhớ lại cảnh ông ngoại mình đứng ngay quan tài bà ngoại khóc nức nở . bà đi rồi để ông ở lại một mình , đau lòng quá"
Sadness,em chân thành nên em tổn thương
Sadness,cao quá cũng khổ chứ sung sướng đéo gì 😓
Surprise,vl :)) còn đút tay túi áo ??
Anger,"per đi coi phim coi , hẹn quài luôn á"
Anger,mẹ mày đã đánh mày tan xác chưa . phải tao thì mẹ tao cho nhừ tử luôn rồi ??
Anger,"kệ mẹ tao , tao thích nuôi chó thôi okeeee nó đéo bao giờ kêu tao bướng"
Anger,xoá sổ toàn phần cơ sở cung cấp thức ăn khốn nạn này bằng cách cho chúng mỗi đứa một mũi tiêm thuốc độc . còn hiệu trưởng các trường bỏ tù vĩnh viễn .
Disgust,con này ăn cức mà lớn hay sao ấy . đánh không lại thì chạy ngu như bò đứng cho tụi nó đánh
Disgust,mày là con bé gái bố mày là con lợn nhé . khi con nào còn mở mồm bảo chỉ theo bạn bỏ zai thì bị ăn vả thế đấy =)))
Disgust,ý thức tồi
Enjoyment,"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí"
Enjoyment,"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩"
Enjoyment,ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..
Enjoyment,per thích quáaaaa
Enjoyment,cách tạo nghiệp chướng nhanh và hiệu quả :))
Enjoyment,má đáng yêuc quá dạyyyy ??
Enjoyment,"nói câu sau là nuốt câu trước , y chang nuốt não nó v đó nhỉ kk thật thú vị"
Enjoyment,kkk tao chọn anh đầu tiên
Enjoyment,crush mới thích ảnh tao mà tao đã . nghĩ đến chuyện đặt tên con rồi
Enjoyment,phìm này rất rất hay đôi với ai sống hướng nội !
Enjoyment,mai đấu giá thử cai lap cua mình chứa toàn tài liệu tiếng nhật 😂😂
Enjoyment,per kỷ niệm khó quên nhỉ kkk
Enjoyment,khi đủ trưởng thành và kinh tế . cơ mà nhỡ bác sĩ bảo cưới thì cũng phải cưới thôi 😂
Enjoyment,hay lắm . thằng anh giúp 2e thêm yêu lao động
Enjoyment,1 lần thôi cũng đủ xao xuyến anh rồi
Fear,hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ
Sadness,tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁
Sadness,nhớ con gái tao quá :((((
Sadness,nghe bài này nhớ nyc vãi
Surprise,hot đến vậy cơ à ? mình chưa nghe bao giờ luôn .
Anger,ko như thằng per năm ấy ngồi cạnh tao một hai không cho chép bài thi ! đm
Anger,"đứng nhất tại trừ phí nhiều chứ khỉ gì . mới lãnh lương xong là trừ , không đki dịch vụ gì hết mà tháng nào cũng trừ , tới lúc cần giải quyết ra đợi cả buổi , rồi lại hẹn cả tuần ."
Anger,"dm tao thấy người ta không sợ vì rắn mà sợ vì thằng chả la làm hết hồn , toàn núp lén rồi la lên thằng đéo nào mà không sợ chứ"
Disgust,vì nó biết mày còn 2 quả thận thôi con ạ . rửa mặt đi :vậy
Disgust,kém sang
Disgust,khi bạn ngu tất cả các lĩnh vực như toán học văn học nhưng vẫn cố tỏ ra nguy hiểm
Disgust,per ông này ác thật con bé nó van xin thế rồi
Disgust,toàn để báo nó giật tít không thèm đọc cả bài rồi giãy nảy lên như đỉa phải vôi
Disgust,tránh xa tao ra
Enjoyment,tao thấy buồn cười vãi :))
Enjoyment,per ối bạn ơi quà sinh nhật mình đây rồiiiii
Enjoyment,họ đã cho ta có mặt ở trên cột đời này rồi còn gì bằng nữa chứ
Enjoyment,tuổi trẻ tài cao =)))
Enjoyment,ấn tượng vãi :v bàn tay vàng trong làng vẩy khế :v
Enjoyment,cười vào mặt mấy đứa không có người yêu :)))
Fear,từ lúc đấy tao không ăn được các loại thịt ngan - ngỗng - vịt lun 😞 ám ảnh vãi
Sadness,mẹ mắng lúc sáng sớm là xui cả ngày :(
Sadness,"mới đây thôi mà đa 3 năm rồi , những ngày chia tay buồn đó :(("
Sadness,cay đắng cuộc đời 😞 một chút vị mặn của mồ hôi nước mắt
Sadness,per giờ thằng gù nhà thờ chạy đi đâu đây :(
Surprise,nhện to đến nổi chúng mày giật cả mình à :)
Surprise,sao đi cắt tóc mà mắt nó từ đen sang xanh luôn vậy ?
Surprise,sao đũy đó có thể mập được vậy nhỉ
Anger,dm chúng mày bị bệnh à kiện chết con mẹ mấy thằng ấu dâm bệnh hoạn này đi
Disgust,per mặc dù biết ngôn tình tàu khựa toàn xạo chó nhưng cầu hôn có não thật ^^
Disgust,vậy mà trên đời có 1 loại cha vứt bỏ con mình .
Disgust,chứ còn con mẹ gì nữa 😔
Disgust,chưa chi đã để thua từ hình ảnh này . thua
Enjoyment,không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤
Enjoyment,per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :))))
Enjoyment,per bị chì chiết từ 6h sang đến 23h phia . vẫn sống vui 😊😉
Enjoyment,"cái quá phơi lúa xong mưa , tao đang cười vì bà béo thì phải ngậm mồm ."
Enjoyment,thấy cái thèm ts quá
Enjoyment,crush của tao đi làm rồi . hihee . sáng mai mới về cơ 🤣🤣
Enjoyment,thấy cờ rút trên tờ polime là tim rụng rời liền
Fear,moá nhìn rùng hết cả mình
Fear,"nhỏ thấy qua 1 lần , nó bị cột ngay trước cửa nhà người ta ở trong hẻm , mỗi lần đi ngang qua là nó lại định lao tới cà khịa"
Sadness,phận làm con trai haizz
Sadness,đau đớn quá sao phải tham mấy đồng tiền đó nhỉ
Surprise,ngã sấp mặt lồn là có thật
Surprise,wtf nắng rồi mà @@
Anger,cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt
Disgust,nếu người ta sai thì gọi công an xử lý còn không thì bạn không có quyền nhé
Disgust,lại là bà hàng xóm 😒
Disgust,ngu hết phần thiên hạ
Disgust,quả dạ vâng kia ngọt vãi ngọt . đéo bù khách của tao toàn được
Disgust,nhà thì như cái chuồng lợn còn bày đặt đắp mặt !
Disgust,"khi bạn cố gắng kéo lại với người ta và họ chụp màn hình gửi cho mọi người , còn đem đi kể nữa chứ"
Disgust,người ta nói ngu thì chết có gì sai ?
Enjoyment,đáng yêuc quá
Enjoyment,cũng có nơi gia đình khá giả mới có nó !
Enjoyment,per may cho bạn 😄😄😄
Enjoyment,đó là tìm đúng người còn sai người thì auto mối quan hệ kết thúc :))
Enjoyment,đoạn phỏng vấn + xin đi chụp hình + cạo râu lão là hay nhất theo mình =]]
Enjoyment,cute vậyyyyy
Enjoyment,"ở nói chuyện ngoài hộ không khì thị về giới tính , họ cho được kết hôn . chứ họ không kì thị như ở việt nam mình hai người kia họ thật dũng cảm khi sống thật với giới tính của mình"
Enjoyment,có ai xem xong không sợ với không giật mình như tao không @@
Enjoyment,bạn có bố thật hạnh phúc
Enjoyment,có ai thừa biết nó sẽ nhảy vào điện thoại nhưng cuối cùng là vẫn giật mình không 🤣
Enjoyment,nhìn đáng yêu vãi :)))
Fear,tao nhìn tao thấy ghê vcd ấy 😂😂
Sadness,kiểu định share vì thấy tinh thần khá hơn nhưng đọc bình luận xong kiểu nhiều đứa còn tiêu cực hơn mình :<
Sadness,gia đình thì không còn . tình yêu thì chưa có gì chắc chắn . 😏
Sadness,khổ thân em ý .
Sadness,nhớ lại kỷ niệm này buồn quá
Anger,"đéo biết ong rừng thật không nhưng đổ mà bắt em dọn thế à , xách mông xuống dọn đi ."
Anger,per nhớ lại vẫn còn tức á cái lol mẹ
Disgust,thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa
Disgust,dume hẩy kiểu đó làm sao mấy bà kia ăn dô nữa 🙂
Disgust,"người ta đi trước cả ý nghĩ của ông rồi đừng dậy người ta , phải tự hào chứ"
Disgust,đúng là không có nhân tính
Disgust,"thôi , bớt bớt đi không có ngày lại thiệt thân , nguyên 1 cái vỉa hè rộng thênh thang còn lắm chuyện , lúc nó đánh cho lại bảo bạo lực với nữ"
Disgust,per mai mốt không xem hết video đừng vô phán
Disgust,"nếu không có câu "" per cổ tích per , tao sẽ vả thằng add vỡ mồm ...."
Disgust,không ai cho không ai cái gì . đừng nghĩ rằng cho đi sẽ nhận lại được điều tốt đẹp
Enjoyment,con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :))
Enjoyment,tán gái hay vãi
Enjoyment,"cái này ở shop đồng giá 40k aeon có nè , tê tới dái luôn"
Enjoyment,"hôm qua tôi đi grab gặp được bạn đẹp trai , thơm phức nè . có cô gái nào có hứng thú hem ?"
Enjoyment,"nghĩ đến cảnh mặc áo là cảm thấy mất cả tuổi thanh xuân , chưa kể là lúc ngứa thì gãi kiểu gì 😂😂"
Enjoyment,yêu quá ! xinh quá ??????
Enjoyment,mày khá là may mắn khi không học tiếng huế đấy =))
Enjoyment,tao cũng hay sử dụng chiêu này và bọn đàn ông vẫn cứ bị lừa ????
Sadness,em đi bộ chết mẹ đây này
Sadness,nói gì thì tụi bây cũng không tin đâu ..😌😌
Sadness,vâng em gặp anh rồi mà giờ đây em vẫn cô đơn đi lang thang tìm những thứ vô nghĩa lấp vào nỗi cô đơn ấy
Sadness,thì đúng là sẽ không buồn vì thất tình nữa :((
Sadness,đọc xong tao muốn khóc luôn
Sadness,"lúc trước ông với bà tao cũng thế , bây giờ thì ông bỏ bà đi trước rồi ."
Sadness,"đù . tròn ung ủng , chân tay ngẵn cũn như tao nhảy sao"
Surprise,"giỏi quá ta , cố gắng phát huy nha"
Anger,ad hỏi thế này thì có khác gì giữa thịt lợn và thịt chó ăn món nào ? ad hỏi thế này là hơi coi thường chị em đó 🤨
Disgust,không thấy hay ho gì cả
Disgust,địt mẹ 2 thằng bạn lol
Disgust,phim này thật ra hay nhưng không có tính thực tế . không hay bằng truyện .
Disgust,tấu hài cực mạnh
Disgust,chả hiểu sao có phẫn nộ :)))
Disgust,mấy thằng vô học
Disgust,muốn ói
Enjoyment,"per đoạn thằng kia tán trái sầu riêng , không trượt phát nào 🤣🤣"
Enjoyment,chuẩn không can chinh
Enjoyment,thề chứ .. phim nay xem đi xem lại không thấy chán ... vẫn như mớinxem vậy
Enjoyment,hay lắm em êiiii
Enjoyment,per năm sau nhớ lấy gối ra quỳ luôn ha 🤣🤣🤣
Sadness,quen với quên rồi thì hết đau thôi mà
Sadness,nếu chịu khó đặt vào hoàn cảnh của nhau mà sống thì mọi chuyện đã đơn giản hơn rồi .
Sadness,coi xong đoan này . tao thấy nhớ nhà vô cùng 😭
Sadness,ewww mình chẳng giữ được gì huhu
Sadness,buồn nhất là crush cũng chả có để mà thả 😞
Anger,"làm con người còn sức khoẻ , còn lành lặn mà vác mặt vào ăn cơm từ thiện thì chết con mẹ nó đi cho đỡ chật đất , cơm này dành cho những người không còn khả năng lao động , hoặc vô gia cư và hoàn cảnh quá khó khăn thôi"
Anger,thằng chó chết mày quá dã ư
Anger,vậy cứ mở mồm chó ra đổ thừa trung quốc . toàn mình giết mình
Anger,bọn này phải cho nó thưởng thức dống như nó đã làm với cây bao nhiêu cây thì bấy nhiêu mũi
Disgust,nhiều cụ cứ chửi người ta mà không chịu xem lại bản thân mình :))
Disgust,per lại nhặng lên à . cảm thấy trong sạch thì cần gì nhặng lên thế
Disgust,cả 2 đứa đều ngu khi có mồm mà không nói =]]]
Enjoyment,cô giáo có tâm vời nghề ghêeeee
Enjoyment,tất cả đã đều quá hoàn hảo rồi . trừ pha nhảy cuối thôiiii :v
Enjoyment,cặp phụ lúc nào cũng đáng yêu .
Enjoyment,tính ra tao lúc nào cũng hài hước vui vẻ luôn đó trời :))))
Enjoyment,mặt hài vãi chưởng =))))
Enjoyment,cầu trời phật cho đại gia đình con sức khỏe !
Enjoyment,đúng rồi con gái là vậy mà kkk
Enjoyment,mặt dày lại ôm cứng ngắt cho chị . 😆
Enjoyment,cái ông aamir khan đóng phim nao cũng hay và ý nghia het
Enjoyment,em ấy còn cười được chứng tỏ em rất mạnh mẽ
Fear,chạy ngay đi 😒 trước khi bọn chủ tịch vào đây và giả làm con cặc gì đó rồi bị coi thường và chúng mày phải nhận cái kết đấy !!
Fear,ăn vào lại thức dậy ở một nơi xa thì bỏ mẹ :))
Fear,"tao có một nỗi sợ khác cũng khá giống con yêu tinh này đó là con yêu nghiệt ngan đực :3 con này thành tinh hung ác vãi_chưởng , đi ra vườn đéo làm gì nó , nó cũng rượt mình . đậu ! đó là tao kể ngày bé thôi =) chứ lớn lên tao biết vơ cây củi theo để đi ra vườn rồi =))"
Sadness,lúc đấy là mình mình cũng lắng liền rồi chắc trào nước mắt mất
Sadness,"thấy bình sữa của em thấy ham quá , chị sinh em bé chả có sữa gì hết ."
Sadness,đó là một câu chuyện buồn
Surprise,có vẻ như cái gì nước ngoài cũng to hơn nước ta 🙂
Anger,mẹ con điên
Anger,liên quan đéo gì . trung thu tết đoàn viên gia đình chứ đoàn viên người yêu đéo đâu .
Anger,per cản tao không tao chửi thề
Disgust,phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !
Disgust,chuẩn khi người ta gặp nạn không lo cứu đứng lấy dt ra quay rùi đăng kẻ đó mới là người cần lên án
Disgust,có những người như chủ thớt bảo sao đất nước không phát triển
Disgust,"lớp 1 tao đã bị nằm sấp lên bàn , bị đánh 20 - 30 cây vì tội viết chữ không có tiến bộ mà có dám hó hé gì đâu . còn học sinh giờ sắp thành hiệu trưởng hết rồi"
Disgust,cô chủ nhiệm óc chó quá
Disgust,cái cây gia công sản xuất kém chất lượng quá :))
Disgust,"t đợi cái post về loài hãm lòn này lâu lắm rồi nhá . dcm nhìn ngốc nghếch thế thôi mà dữ lắm luôn , có lần tao cúi xuống cầm gậy đuổi nó vào chuồng mà nhân lúc tao sơ hở rón rén đến suýt táp vào đít tao . lúc ấy sợ tụt lòn vì chỉ còn có 2 bước nữa thôi là nó đớp gọn tao rồi .... có hôm tao vừa ngờ nghệch ra vườn hóng mát thì cả đàn , cả đàn nhé . dí tao chạy quanh vườn , con nào con nấy vênh cổ lên chạy theo tao . nhờ nó mà suýt chút nữa tao chết vì đau tim ...."
Enjoyment,chuẩn . hài lòng với những thứ mình đang có . đừng mơ mộng những thứ viển vông
Enjoyment,phim hay vãi ra . đến giờ vẫn thấy mình giống bạn ma nữ quá trời 😂😂😂
Enjoyment,ngày xưa mỗi lần tao làm ồn là ngoại tao liền la hoặc lấy roi đánh 😅 nhưng lúc đó vui lắm 😊
Enjoyment,"thú vui mới , thay vì chọc chó thì ghẹo ngỗng cho nó dí =))))"
Enjoyment,giống y con bạn tao :))) mặc dù nó không phải gvien hay gì cả nhưng nó khá trẻ trâu
Enjoyment,"hay ta , hay ta"
Fear,người ta chỉ muốn dụ mày rồi xin một trái thận . 😪
Sadness,tội cả con quá 😭😭 một lũ vô nhân tính đã hủy hoại những mầm non tương lai .
Sadness,có người sinh ra đã giàu có người làm cực khổ cũng không thể giàu . thương ông
Sadness,đúng . biết là sự thật tàn nhẫn nhưng vẫn muốn biết rõ cho nhẹ lòng hơn :(
Sadness,trông tội quá
Sadness,thôi xong . chia buồn cùng quý quốc
Sadness,em không muốn chúng ta già đi chút nào . điều đó đồng nghĩa với việc cta sắp xa nhau 😔# n
Sadness,tội nghiệp thằng bé :)))) chúng mày bốc đâu mấy cái thẻ hay thế ??? :v
Surprise,tao tưởng tới đoạn per tuyên bố hôn nụ hôn chia tay chứ … ai ngờ kết quả lại khác bây
Surprise,ông tổ của những cái sừng là đây sao ??? 🤣
Disgust,nó chỉ là phép lịch sự . ngưng ảo tưởng nha nha
Disgust,bán vé số tháng kiếm 100tr nha . nghe ông lol nao trong quốc hội nói vậy .
Enjoyment,"đấy , chỉ có sale như tao mới tốt thôi , tao không bao giờ hỏi về nỗi đau của khách hàng : x"
Fear,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭
Sadness,"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ"
Sadness,"buồn cho những ai thờ ơ , vô cảm trước một sự việc như thế ."
Sadness,"chân ta cũng là chân đi và giờ bị đứt dây chằng , nằm một chỗ đợi mổ rồi mày . đồng cảm vãi"
Sadness,"tội mày quá , lần sau mày bình tĩnh hơn nhé"
Sadness,thế nên bán hàng có tâm là đừng bao giờ nài nỉ khách mua thêm vì biết đâu bạn vô tình làm cho nỗi đau của họ trở nên tồi tệ hơn .
Disgust,"per mất mặt thật sự , quán bún đậu đó không biết có dán mặt mày lên không"
Disgust,nhìn gai vãi
Disgust,bố khỉ chó chứ kphai người -.-
Disgust,giờ lắm bọn biến thái thế
Enjoyment,chúc mừng các anh . các anh giỏi quá . chuc các anh mạnh khỏe .
Enjoyment,per ông cháu không nè kkk
Enjoyment,các bạn đã xuất sắc hoàn thành nhiệm vụ
Enjoyment,"quan trọng là lòng tin , bạn bè mình một số người mình đã mất lòng tin thì đừng bao giờ nói chuyện tiền nong . khâm phục anh"
Enjoyment,bấy bề ơi . thật là đáng yêu
Enjoyment,bài nhạc hay khi nó đúng tâm trạng ... nhạc hay !!!!!
Enjoyment,nghe có trà sữa là thích rồi
Enjoyment,tưởng tao sợ ư từ cái lần mày dọa rắn tao và tao rơi điện thoại cuối cùng vỡ màn hình là tao đéo sợ nữa nhớ
Fear,per tạo hóa thật đáng sợ :)))))
Fear,per coi phim này chắc chết luôn trong rạp 😂
Fear,per sợ ghê bây .
Sadness,xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt
Sadness,dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .
Sadness,là nhìn người ta đi cạnh 1 cô gái mà bất lực không thể làm gì ngoài việc ngồi nhìn và mỉm cười
Sadness,đã gặp được em đúng lúc . nhưng lại không phải thời điểm em muốn ....
Sadness,per huhu em không biết phải đi xem phim với ai nữa 😭
Surprise,wow vừa vẽ đẹp lại còn biết sáng tạo :))
Anger,gọi phường cẩu đi thôi
Anger,"gym thì liên quan cặc gì đến bede , tuy gym nhưng người ta còn siêng tập nặng hơn mấy tụi bây nhé"
Disgust,agribank thu nhập bằng phong phì thì bố thằng nào biết được mà cập nhật
Disgust,đi tù thôi các cháu
Disgust,"từ hành động và lời nói của tụi nhỏ này không biết nên trách ai bây giờ ,, thối nát một thế hệ"
Disgust,"người ta ăn hàng tỉ lại phát 5 tr , còn gì là pháp luật nữa"
Disgust,do chính sách quản lý yếu kém mới ra vậy đó
Disgust,"trong tất cả các con , con mèo là mất dạy nhất …"
Enjoyment,🤣🤣🤣🤣 bo tay chấm cơm . hahaha
Enjoyment,kaka cái mặt bà kìa
Enjoyment,biết nấu cơm bếp củi từ lớp 2_3 gì đó
Enjoyment,cưng hết phần thiên hạ
Enjoyment,"và mày chỉ cần lùi về sau , như ít quan tâm và nhắn tin lại mày sẻ cua được crush 😎😎"
Fear,hồi bé bị ngỗng dí hoài =)) sợ vãi
Sadness,ko biết crush bây giờ có ở nhà không nữa 😭😭😭😭
Surprise,tao . dân đaklak nhưng lần đầu tiên nghe chuyện này ....
Surprise,đắt hơn sân bay luôn
Anger,lòng đường là để giao thông chứ để nhà các bác đỗ xe à ?
Anger,tử hình cái bọn giết người hàng loạt này đi
Anger,t cho mẹ tao xem và đã bị ăn vả . đéo hiểu vì sao
Disgust,"đây là 1 câu chuyện buồn đó , đừng có haha nha per"
Disgust,lũ bảo vệ nhìn vô dụng nhỉ :v quanh đó có gì xảy ra còn del biết thì làm bảo vệ làm cái gì ?
Disgust,thằng lồn nào chế ra cái này tao nghĩ nó hơi bị thiêu muối đấy nhạt vãi lol ra
Enjoyment,":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !"
Enjoyment,"per đọc vài dòng là lướt xuống cuối để xem có phải "" hi vọng câu chuyện mình vừa bịa ra ...."" nhưng không phải . kkk"
Enjoyment,tại sao phải đứng ngồi nhìn ? lên bankon cột võng nằm coi mới đã ..
Enjoyment,bố là số 1 vĩ đại hơn những gì con cần
Enjoyment,per mỗi ngày đi làm thấy per là như có thêm power cho 1 ngày siêng năng !!!!
Enjoyment,xem cả chục lần vẫn thấy hạnh phúc lây với cụ bà 😊 không biết mai sau mình có được vậy không
Enjoyment,thú vị vậy =))
Enjoyment,con đáng yêu quá
Enjoyment,đơn giản nha .. cơm này ngon hơn cơm điện nhiều . không tin thì cứ thử
Enjoyment,là đi phát tờ rơi ngay mấy ngã tư và cổng trường đại học ! được 200k về mua skin yasuo siêu phẩm 2016
Enjoyment,cưng quá :)))
Sadness,tao thì muốn là đéo bao giờ . nhưng mẹ tao thì muốn ngay bây giờ 😢
Sadness,rủ được crush đi thì không cần qua đây nữa rồi admin ưiiii :(((
Sadness,khổ thân vãi :)) xong bà lườm luôn :))
Sadness,không có gì là tồn tại mãi nhỉ
Sadness,định share mà đọc bình luận tắt con mẹ nó cảm xúc :(((((
Sadness,"giờ nghĩ lại mới thấy vui thế , đến nay bạn bè lập gia đình cả rồi :((("
Sadness,"không phù hợp thổ nhưỡng , khí hậu . vậy mà vẫn tung hô , dải ngân để làm khổ dân . quả bóng trách nhiệm chẳng thuộc về ai cả . 😢😢"
Sadness,lại mưa 😞
Sadness,nhìn vừa tội vừa thương ????
Surprise,giỏi thiệt . nể . giọng ở tao khó z mà ông này nói được giỏi 😁
Surprise,tui còn chưa biết sì phố là gì . ổng biết luôn á trời
Disgust,"này thì cắt đức quan hệ , toàn thể hiện , dume nó"
Disgust,nhìn ghê vãi . ai nuôi mà ác thế
Disgust,"toàn xử ép , đi tù gần được 7 năm rồi đền người ta 200 triệu . thời gian tuổi trẻ của con người rẻ mạt quâ"
